Symbol,Date,Open,High,Low,Close,Volume
AAPL,2001-01-01,0.2656,0.2656,0.2656,0.2656,0
AAPL,2001-01-02,0.2656,0.2723,0.2601,0.2656,16154000
AAPL,2001-01-03,0.2589,0.298,0.2578,0.2924,29181200
AAPL,2001-01-04,0.324,0.3304,0.3002,0.3047,26407000
AAPL,2001-01-05,0.3025,0.3103,0.2868,0.2924,14727400
AAPL,2001-01-08,0.3025,0.3033,0.2846,0.2958,13346800
AAPL,2001-01-09,0.3002,0.315,0.2958,0.3069,21033200
AAPL,2001-01-10,0.298,0.3036,0.2868,0.2958,20742600
AAPL,2001-01-11,0.2902,0.3304,0.2902,0.3214,28706800
AAPL,2001-01-12,0.3192,0.3214,0.3047,0.3069,15121400
AAPL,2001-01-15,0.3069,0.3069,0.3069,0.3069,0
AAPL,2001-01-16,0.3114,0.3259,0.3036,0.3058,10932800
AAPL,2001-01-17,0.3136,0.3136,0.2947,0.3002,30051400
AAPL,2001-01-18,0.3181,0.3348,0.3147,0.3337,43821800
AAPL,2001-01-19,0.3471,0.3493,0.3337,0.3482,27738000
AAPL,2001-01-22,0.3404,0.3505,0.3293,0.3438,18548000
AAPL,2001-01-23,0.3449,0.3739,0.3404,0.3661,31412400
AAPL,2001-01-24,0.3683,0.3694,0.3493,0.3661,25610600
AAPL,2001-01-25,0.3672,0.3672,0.3527,0.356,17489600
AAPL,2001-01-26,0.3482,0.3538,0.3404,0.3493,17243600
AAPL,2001-01-29,0.3493,0.3884,0.3493,0.3873,30554600
AAPL,2001-01-30,0.3851,0.3929,0.3728,0.3884,24729400
AAPL,2001-01-31,0.3839,0.4018,0.3828,0.3862,26096800
AAPL,2001-02-01,0.3694,0.3839,0.3661,0.3772,13253800
AAPL,2001-02-02,0.3772,0.3918,0.3661,0.3683,15262200
AAPL,2001-02-05,0.3661,0.3672,0.3527,0.3605,11650400
AAPL,2001-02-06,0.3599,0.3828,0.3572,0.3772,16525400
AAPL,2001-02-07,0.3689,0.3728,0.3538,0.3705,14067400
AAPL,2001-02-08,0.3672,0.3761,0.3605,0.3705,21576000
AAPL,2001-02-09,0.3661,0.3717,0.3337,0.3415,21074400
AAPL,2001-02-12,0.3404,0.3572,0.336,0.3516,9794600
AAPL,2001-02-13,0.356,0.365,0.3393,0.3415,8466800
AAPL,2001-02-14,0.3426,0.3505,0.3304,0.3482,11040000
AAPL,2001-02-15,0.3516,0.3672,0.3516,0.3583,11122000
AAPL,2001-02-16,0.3393,0.3482,0.3348,0.3393,9425400
AAPL,2001-02-19,0.3393,0.3393,0.3393,0.3393,0
AAPL,2001-02-20,0.3426,0.3471,0.3248,0.327,11246400
AAPL,2001-02-21,0.3259,0.356,0.3259,0.3371,13939800
AAPL,2001-02-22,0.3404,0.346,0.3214,0.336,15429200
AAPL,2001-02-23,0.3326,0.3371,0.3259,0.336,10495200
AAPL,2001-02-26,0.3404,0.3516,0.3315,0.3482,7372800
AAPL,2001-02-27,0.3443,0.3471,0.3337,0.346,12447000
AAPL,2001-02-28,0.346,0.3471,0.3237,0.3259,18151200
AAPL,2001-03-01,0.3181,0.3348,0.3069,0.3348,11803800
AAPL,2001-03-02,0.327,0.365,0.3259,0.3438,14507200
AAPL,2001-03-05,0.346,0.3661,0.3415,0.3639,11577600
AAPL,2001-03-06,0.37,0.394,0.3694,0.3839,26135800
AAPL,2001-03-07,0.3806,0.3862,0.3705,0.3795,14983600
AAPL,2001-03-08,0.3694,0.3772,0.365,0.3717,7316400
AAPL,2001-03-09,0.3683,0.3694,0.3572,0.3616,10683400
AAPL,2001-03-12,0.3516,0.3549,0.3237,0.3326,13965000
AAPL,2001-03-13,0.3371,0.3493,0.3248,0.3493,15833200
AAPL,2001-03-14,0.3304,0.3661,0.3293,0.365,17063400
AAPL,2001-03-15,0.3728,0.3817,0.3516,0.3516,18907200
AAPL,2001-03-16,0.3393,0.3627,0.3371,0.3505,16797000
AAPL,2001-03-19,0.3527,0.3683,0.3482,0.3672,12714600
AAPL,2001-03-20,0.37,0.3739,0.3516,0.3516,17830800
AAPL,2001-03-21,0.3533,0.3728,0.346,0.3594,13275800
AAPL,2001-03-22,0.3639,0.3884,0.3605,0.3862,25838400
AAPL,2001-03-23,0.394,0.4208,0.3929,0.4107,33748000
AAPL,2001-03-26,0.413,0.4241,0.3773,0.3889,26232200
AAPL,2001-03-27,0.3918,0.4116,0.3911,0.4084,19423000
AAPL,2001-03-28,0.3943,0.4018,0.3839,0.3959,20917400
AAPL,2001-03-29,0.3888,0.4188,0.3839,0.4023,21904200
AAPL,2001-03-30,0.4027,0.4057,0.3811,0.3941,14306600
AAPL,2001-04-02,0.3945,0.4047,0.3822,0.3855,12179600
AAPL,2001-04-03,0.3814,0.3822,0.3595,0.3614,13167400
AAPL,2001-04-04,0.3529,0.3616,0.3348,0.3482,24486800
AAPL,2001-04-05,0.3679,0.4018,0.3572,0.3727,15955800
AAPL,2001-04-06,0.3714,0.3757,0.3554,0.3677,11603200
AAPL,2001-04-09,0.3695,0.3811,0.3582,0.3668,9520800
AAPL,2001-04-10,0.3732,0.4054,0.3711,0.3936,16334800
AAPL,2001-04-11,0.4104,0.4107,0.38,0.3893,11932200
AAPL,2001-04-12,0.3825,0.4111,0.3777,0.4004,10676800
AAPL,2001-04-13,0.4004,0.4004,0.4004,0.4004,0
AAPL,2001-04-16,0.3945,0.4,0.3725,0.3829,10187600
AAPL,2001-04-17,0.3786,0.3788,0.35,0.3643,24477000
AAPL,2001-04-18,0.3852,0.43,0.3764,0.407,39791400
AAPL,2001-04-19,0.4543,0.4598,0.4214,0.4593,66933000
AAPL,2001-04-20,0.4452,0.4577,0.4393,0.4472,24765000
AAPL,2001-04-23,0.4347,0.4464,0.4286,0.433,19340400
AAPL,2001-04-24,0.4345,0.4464,0.4198,0.4291,13468600
AAPL,2001-04-25,0.4323,0.4439,0.4209,0.4414,11813800
AAPL,2001-04-26,0.4495,0.4661,0.4407,0.4409,28561000
AAPL,2001-04-27,0.45,0.4695,0.442,0.4679,16620800
AAPL,2001-04-30,0.4768,0.4843,0.4441,0.4552,17673600
AAPL,2001-05-01,0.4538,0.4732,0.45,0.463,15261400
AAPL,2001-05-02,0.4704,0.4768,0.46,0.4748,13161600
AAPL,2001-05-03,0.4638,0.4688,0.4416,0.4457,10770400
AAPL,2001-05-04,0.4329,0.4616,0.4279,0.4598,10037600
AAPL,2001-05-07,0.4575,0.46,0.4436,0.4457,9876800
AAPL,2001-05-08,0.4527,0.4545,0.4277,0.4388,11266000
AAPL,2001-05-09,0.4311,0.4384,0.4227,0.4282,11603200
AAPL,2001-05-10,0.4323,0.4375,0.4098,0.4107,10322200
AAPL,2001-05-11,0.4109,0.4195,0.4064,0.408,7254000
AAPL,2001-05-14,0.4088,0.4229,0.4063,0.4159,11054600
AAPL,2001-05-15,0.4173,0.4438,0.4114,0.4139,8465800
AAPL,2001-05-16,0.4154,0.4375,0.408,0.4304,11511800
AAPL,2001-05-17,0.4327,0.4345,0.4152,0.4205,11864200
AAPL,2001-05-18,0.4172,0.4222,0.4129,0.4202,5686200
AAPL,2001-05-21,0.422,0.427,0.4116,0.4207,16584800
AAPL,2001-05-22,0.4286,0.4309,0.4179,0.4197,14748000
AAPL,2001-05-23,0.4241,0.4241,0.4082,0.4148,10043000
AAPL,2001-05-24,0.4159,0.4161,0.4039,0.4143,9707000
AAPL,2001-05-25,0.4143,0.4159,0.4018,0.4064,5670200
AAPL,2001-05-28,0.4064,0.4064,0.4064,0.4064,0
AAPL,2001-05-29,0.3986,0.4018,0.3716,0.3834,18428400
AAPL,2001-05-30,0.3707,0.3707,0.3447,0.3532,27753800
AAPL,2001-05-31,0.3536,0.3614,0.348,0.3563,15818000
AAPL,2001-06-01,0.3595,0.3766,0.3568,0.373,16290400
AAPL,2001-06-04,0.3764,0.377,0.3654,0.3689,10069400
AAPL,2001-06-05,0.3714,0.3768,0.3634,0.3739,16849800
AAPL,2001-06-06,0.3738,0.3738,0.363,0.3702,7973200
AAPL,2001-06-07,0.3698,0.3875,0.3652,0.3868,11614200
AAPL,2001-06-08,0.3866,0.3866,0.3698,0.3807,12236600
AAPL,2001-06-11,0.3759,0.3763,0.3563,0.3579,10500000
AAPL,2001-06-12,0.353,0.3695,0.3529,0.3627,10850200
AAPL,2001-06-13,0.3825,0.388,0.3582,0.3655,18267800
AAPL,2001-06-14,0.3579,0.3652,0.353,0.355,10622200
AAPL,2001-06-15,0.3589,0.3705,0.3455,0.365,16245600
AAPL,2001-06-18,0.3645,0.3723,0.3572,0.363,12354400
AAPL,2001-06-19,0.3723,0.3822,0.3573,0.3605,11468800
AAPL,2001-06-20,0.3572,0.3902,0.3568,0.387,15415200
AAPL,2001-06-21,0.3848,0.4107,0.3768,0.4016,12190400
AAPL,2001-06-22,0.4014,0.4107,0.3886,0.3975,10215200
AAPL,2001-06-25,0.4018,0.4286,0.4009,0.4284,15698200
AAPL,2001-06-26,0.4168,0.4245,0.4109,0.4241,9743000
AAPL,2001-06-27,0.4255,0.4286,0.4018,0.4168,13362400
AAPL,2001-06-28,0.4116,0.427,0.4097,0.4204,12444000
AAPL,2001-06-29,0.4225,0.4482,0.4143,0.4152,20146000
AAPL,2001-07-02,0.4222,0.4327,0.4132,0.4268,8217200
AAPL,2001-07-03,0.4198,0.4318,0.4197,0.4257,4019400
AAPL,2001-07-04,0.4257,0.4257,0.4257,0.4257,0
AAPL,2001-07-05,0.4214,0.4245,0.4109,0.4141,5442000
AAPL,2001-07-06,0.4064,0.41,0.3879,0.3934,10820000
AAPL,2001-07-09,0.3945,0.4107,0.3872,0.4054,12052400
AAPL,2001-07-10,0.4098,0.412,0.3722,0.3775,14117000
AAPL,2001-07-11,0.3755,0.4027,0.375,0.4025,16808200
AAPL,2001-07-12,0.4161,0.443,0.4161,0.435,21959600
AAPL,2001-07-13,0.4309,0.4466,0.4257,0.4438,16240800
AAPL,2001-07-16,0.4443,0.4482,0.427,0.4279,9953400
AAPL,2001-07-17,0.4282,0.4504,0.4109,0.4482,23250800
AAPL,2001-07-18,0.3889,0.4068,0.3647,0.3713,40611000
AAPL,2001-07-19,0.3791,0.3825,0.3527,0.3564,30775000
AAPL,2001-07-20,0.3518,0.3582,0.348,0.3568,15881000
AAPL,2001-07-23,0.3588,0.3661,0.3484,0.3489,8622600
AAPL,2001-07-24,0.3463,0.3557,0.3345,0.3409,12442400
AAPL,2001-07-25,0.3414,0.3447,0.3209,0.3298,15857400
AAPL,2001-07-26,0.33,0.3357,0.3188,0.332,13230200
AAPL,2001-07-27,0.3348,0.3438,0.3304,0.3386,11935400
AAPL,2001-07-30,0.3414,0.3457,0.3305,0.338,8691400
AAPL,2001-07-31,0.3441,0.3468,0.3305,0.3355,8394000
AAPL,2001-08-01,0.3395,0.3532,0.3384,0.3404,10862000
AAPL,2001-08-02,0.3509,0.3548,0.3439,0.3539,9003400
AAPL,2001-08-03,0.3552,0.3554,0.3393,0.3482,6645400
AAPL,2001-08-06,0.34,0.3511,0.3393,0.3416,3559000
AAPL,2001-08-07,0.3452,0.3513,0.3389,0.3438,6019600
AAPL,2001-08-08,0.3439,0.3518,0.3311,0.3375,9863200
AAPL,2001-08-09,0.3386,0.342,0.3343,0.3402,7167200
AAPL,2001-08-10,0.34,0.345,0.332,0.3397,6677200
AAPL,2001-08-13,0.3411,0.3452,0.335,0.3409,5285800
AAPL,2001-08-14,0.3429,0.3457,0.3334,0.3345,8176800
AAPL,2001-08-15,0.335,0.3382,0.325,0.3293,10331600
AAPL,2001-08-16,0.3263,0.3348,0.3209,0.333,10289200
AAPL,2001-08-17,0.3214,0.3295,0.3213,0.3227,7444000
AAPL,2001-08-20,0.3239,0.3255,0.318,0.3236,9010800
AAPL,2001-08-21,0.3239,0.3239,0.3161,0.32,6632400
AAPL,2001-08-22,0.3204,0.3259,0.3145,0.3252,6216000
AAPL,2001-08-23,0.325,0.3275,0.3139,0.318,7803600
AAPL,2001-08-24,0.3214,0.3325,0.3152,0.3316,10369800
AAPL,2001-08-27,0.3322,0.3447,0.3243,0.3379,6273000
AAPL,2001-08-28,0.3375,0.3418,0.3286,0.3286,6133400
